id,date,store_nbr,family,sales,onpromotion
2950888,2017-07-18,6,POULTRY,445.26498,0
2950889,2017-07-18,6,PREPARED FOODS,93.091,0
2950890,2017-07-18,6,PRODUCE,1859.39,2
2950891,2017-07-18,6,SCHOOL AND OFFICE SUPPLIES,0.0,0
2950892,2017-07-18,6,SEAFOOD,31.76,0
2950893,2017-07-18,7,AUTOMOTIVE,10.0,0
2950894,2017-07-18,7,BABY CARE,0.0,0
2950895,2017-07-18,7,BEAUTY,5.0,1
2950896,2017-07-18,7,BEVERAGES,3602.0,49
2950897,2017-07-18,7,BOOKS,0.0,0
2950898,2017-07-18,7,BREAD/BAKERY,560.833,0
2950899,2017-07-18,7,CELEBRATION,13.0,0
2950900,2017-07-18,7,CLEANING,1291.0,20
2950901,2017-07-18,7,DAIRY,1152.0,18
2950902,2017-07-18,7,DELI,209.683,15
2950903,2017-07-18,7,EGGS,258.0,0
2950904,2017-07-18,7,FROZEN FOODS,176.164,1
2950905,2017-07-18,7,GROCERY I,3946.0,69
2950906,2017-07-18,7,GROCERY II,61.0,0
2950907,2017-07-18,7,HARDWARE,11.0,0
2950908,2017-07-18,7,HOME AND KITCHEN I,17.0,2
2950909,2017-07-18,7,HOME AND KITCHEN II,20.0,1
2950910,2017-07-18,7,HOME APPLIANCES,1.0,0
2950911,2017-07-18,7,HOME CARE,250.0,14
2950912,2017-07-18,7,LADIESWEAR,13.0,0
2950913,2017-07-18,7,LAWN AND GARDEN,32.0,0
2950914,2017-07-18,7,LINGERIE,18.0,0
2950915,2017-07-18,7,"LIQUOR,WINE,BEER",92.0,3
2950916,2017-07-18,7,MAGAZINES,12.0,0
2950917,2017-07-18,7,MEATS,463.904,0
2950918,2017-07-18,7,PERSONAL CARE,247.0,7
2950919,2017-07-18,7,PET SUPPLIES,7.0,0
2950920,2017-07-18,7,PLAYERS AND ELECTRONICS,12.0,0
2950921,2017-07-18,7,POULTRY,625.923,0
2950922,2017-07-18,7,PREPARED FOODS,120.766,0
2950923,2017-07-18,7,PRODUCE,4519.371,3
2950924,2017-07-18,7,SCHOOL AND OFFICE SUPPLIES,1.0,0
2950925,2017-07-18,7,SEAFOOD,35.201,0
2950926,2017-07-18,8,AUTOMOTIVE,2.0,0
2950927,2017-07-18,8,BABY CARE,0.0,0
2950928,2017-07-18,8,BEAUTY,6.0,0
2950929,2017-07-18,8,BEVERAGES,3900.0,49
2950930,2017-07-18,8,BOOKS,0.0,0
2950931,2017-07-18,8,BREAD/BAKERY,694.573,0
2950932,2017-07-18,8,CELEBRATION,25.0,0
2950933,2017-07-18,8,CLEANING,1099.0,20
2950934,2017-07-18,8,DAIRY,1126.0,17
2950935,2017-07-18,8,DELI,215.146,13
2950936,2017-07-18,8,EGGS,249.0,0
2950937,2017-07-18,8,FROZEN FOODS,144.331,1
2950938,2017-07-18,8,GROCERY I,4358.0,70
2950939,2017-07-18,8,GROCERY II,16.0,0
2950940,2017-07-18,8,HARDWARE,2.0,0
2950941,2017-07-18,8,HOME AND KITCHEN I,47.0,7
2950942,2017-07-18,8,HOME AND KITCHEN II,34.0,0
2950943,2017-07-18,8,HOME APPLIANCES,0.0,0
2950944,2017-07-18,8,HOME CARE,298.0,14
2950945,2017-07-18,8,LADIESWEAR,29.0,0
2950946,2017-07-18,8,LAWN AND GARDEN,33.0,0
2950947,2017-07-18,8,LINGERIE,12.0,0
2950948,2017-07-18,8,"LIQUOR,WINE,BEER",83.0,3
2950949,2017-07-18,8,MAGAZINES,7.0,0
2950950,2017-07-18,8,MEATS,325.618,0
2950951,2017-07-18,8,PERSONAL CARE,278.0,6
2950952,2017-07-18,8,PET SUPPLIES,13.0,0
2950953,2017-07-18,8,PLAYERS AND ELECTRONICS,18.0,0
2950954,2017-07-18,8,POULTRY,575.473,0
2950955,2017-07-18,8,PREPARED FOODS,109.976,0
2950956,2017-07-18,8,PRODUCE,3396.244,3
2950957,2017-07-18,8,SCHOOL AND OFFICE SUPPLIES,0.0,0
2950958,2017-07-18,8,SEAFOOD,21.601,0
2950959,2017-07-18,9,AUTOMOTIVE,11.0,0
2950960,2017-07-18,9,BABY CARE,0.0,0
2950961,2017-07-18,9,BEAUTY,2.0,1
2950962,2017-07-18,9,BEVERAGES,2960.0,33
2950963,2017-07-18,9,BOOKS,0.0,0
2950964,2017-07-18,9,BREAD/BAKERY,523.0,11
2950965,2017-07-18,9,CELEBRATION,20.0,0
2950966,2017-07-18,9,CLEANING,1317.0,17
2950967,2017-07-18,9,DAIRY,705.0,16
2950968,2017-07-18,9,DELI,470.541,14
2950969,2017-07-18,9,EGGS,298.0,2
2950970,2017-07-18,9,FROZEN FOODS,86.294,0
2950971,2017-07-18,9,GROCERY I,5534.055,52
2950972,2017-07-18,9,GROCERY II,11.0,0
2950973,2017-07-18,9,HARDWARE,0.0,0
2950974,2017-07-18,9,HOME AND KITCHEN I,33.0,7
2950975,2017-07-18,9,HOME AND KITCHEN II,35.0,0
2950976,2017-07-18,9,HOME APPLIANCES,0.0,0
2950977,2017-07-18,9,HOME CARE,445.0,15
2950978,2017-07-18,9,LADIESWEAR,12.0,0
2950979,2017-07-18,9,LAWN AND GARDEN,16.0,4
2950980,2017-07-18,9,LINGERIE,10.0,0
2950981,2017-07-18,9,"LIQUOR,WINE,BEER",26.0,1
2950982,2017-07-18,9,MAGAZINES,1.0,0
2950983,2017-07-18,9,MEATS,376.399,0
2950984,2017-07-18,9,PERSONAL CARE,431.0,8
2950985,2017-07-18,9,PET SUPPLIES,2.0,0
2950986,2017-07-18,9,PLAYERS AND ELECTRONICS,9.0,0
2950987,2017-07-18,9,POULTRY,320.401,0
2950988,2017-07-18,9,PREPARED FOODS,118.927,0
2950989,2017-07-18,9,PRODUCE,2178.149,148
2950990,2017-07-18,9,SCHOOL AND OFFICE SUPPLIES,0.0,0
2950991,2017-07-18,9,SEAFOOD,10.2,1
2950992,2017-07-19,1,AUTOMOTIVE,7.0,0
2950993,2017-07-19,1,BABY CARE,0.0,0
2950994,2017-07-19,1,BEAUTY,3.0,0
2950995,2017-07-19,1,BEVERAGES,2369.0,34
2950996,2017-07-19,1,BOOKS,0.0,0
2950997,2017-07-19,1,BREAD/BAKERY,411.062,0
2950998,2017-07-19,1,CELEBRATION,12.0,0
2950999,2017-07-19,1,CLEANING,860.0,22
2951000,2017-07-19,1,DAIRY,781.0,19
2951001,2017-07-19,1,DELI,158.587,11
2951002,2017-07-19,1,EGGS,151.0,0
2951003,2017-07-19,1,FROZEN FOODS,151.206,1
2951004,2017-07-19,1,GROCERY I,3065.0,76
2951005,2017-07-19,1,GROCERY II,23.0,0
2951006,2017-07-19,1,HARDWARE,0.0,0
2951007,2017-07-19,1,HOME AND KITCHEN I,16.0,1
2951008,2017-07-19,1,HOME AND KITCHEN II,25.0,0
2951009,2017-07-19,1,HOME APPLIANCES,0.0,0
2951010,2017-07-19,1,HOME CARE,221.0,12
2951011,2017-07-19,1,LADIESWEAR,20.0,0
2951012,2017-07-19,1,LAWN AND GARDEN,17.0,5
2951013,2017-07-19,1,LINGERIE,3.0,0
2951014,2017-07-19,1,"LIQUOR,WINE,BEER",69.0,4
2951015,2017-07-19,1,MAGAZINES,3.0,0
2951016,2017-07-19,1,MEATS,284.469,0
2951017,2017-07-19,1,PERSONAL CARE,128.0,4
2951018,2017-07-19,1,PET SUPPLIES,1.0,0
2951019,2017-07-19,1,PLAYERS AND ELECTRONICS,13.0,0
2951020,2017-07-19,1,POULTRY,311.232,0
2951021,2017-07-19,1,PREPARED FOODS,68.336,0
2951022,2017-07-19,1,PRODUCE,3799.933,210
2951023,2017-07-19,1,SCHOOL AND OFFICE SUPPLIES,0.0,0
2951024,2017-07-19,1,SEAFOOD,26.513,0
